id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1607200027855970304,1607200027855970304,2022-12-26 09:22:01 SE Asia Standard Time,2022-12-26,09:22:01,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] mau nanya, kalian yang apply magang di instansi pemerintah tim yg nunggu dikabarin atau coba nanya lagi kepastian sendiri?",in,[],[],[],1,0,2,[],[],https://twitter.com/collegemenfess/status/1607200027855970304,False,,0,,,,,,,,[],,,,
1607199533343313921,1607199533343313921,2022-12-26 09:20:03 SE Asia Standard Time,2022-12-26,09:20:03,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] kalian yang dom malang kalo nugas di cafe dimana ya? yg kondusif gitu. aku jarang keluar jadi agak kurang update, lagi jenuh ngerjain skripsi dikosan. terimakasihh",in,[],[],[],1,1,1,[],[],https://twitter.com/collegemenfess/status/1607199533343313921,False,,0,,,,,,,,[],,,,
1607199083344850945,1607199083344850945,2022-12-26 09:18:16 SE Asia Standard Time,2022-12-26,09:18:16,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] not my grandpa telling me ""kakek harap dan bagusnya sih km juni depan udah wisuda"" when i'm still on my 5th semester mana ipk baru keluar juga👄👁️👄",in,[],[],[],2,0,2,[],[],https://twitter.com/collegemenfess/status/1607199083344850945,False,,0,,,,,,,,[],,,,
1607199072443838465,1607199072443838465,2022-12-26 09:18:13 SE Asia Standard Time,2022-12-26,09:18:13,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] waktu UAS kalian jadi lebih sensitif ga sih? Jadi apapun yang ga sesuai sama ekpetasi kalian bisa bikin mood turun 😭😭  aku sekarang jadi sering mara2 sama orang rumah karena ganggu,in,[],[],[],1,0,2,[],[],https://twitter.com/collegemenfess/status/1607199072443838465,False,,0,,,,,,,,[],,,,
1607198887475044352,1607198887475044352,2022-12-26 09:17:29 SE Asia Standard Time,2022-12-26,09:17:29,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] Guys perhitungan r-tabel kan df = n - 2. Nah n kan jumlah sampel trus 2 itu darimana guys? Emang rumus ya?,in,[],[],[],4,0,1,[],[],https://twitter.com/collegemenfess/status/1607198887475044352,False,,0,,,,,,,,[],,,,
1607198800225112065,1607198800225112065,2022-12-26 09:17:08 SE Asia Standard Time,2022-12-26,09:17:08,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] Jadwal sempro sender belum keluar, tapi dospem sender ada yg cuti 12 harian juga dosen yg lainnya juga mau liburan kira2 satu minggu, kalo mnurut kalian sender prefer pulkam dlu atau taun baruan di rantau?:’)",in,[],[],[],1,0,0,[],[],https://twitter.com/collegemenfess/status/1607198800225112065,False,,0,,,,,,,,[],,,,
1607198600152641536,1607198600152641536,2022-12-26 09:16:21 SE Asia Standard Time,2022-12-26,09:16:21,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] nilâi sender udh keluar dan ipk sender turun bahkan dibawah 3. Ada beberapa matkul juga yang ngulang. Boleh minta semangatnya ga😔?,in,[],[],[],6,0,0,[],[],https://twitter.com/collegemenfess/status/1607198600152641536,False,,0,,,,,,,,[],,,,
1607198538446016513,1607198538446016513,2022-12-26 09:16:06 SE Asia Standard Time,2022-12-26,09:16:06,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] mau tanya ke yang skripsinya kualitatif, ngerjakan bab 4, bab 5, nambahin kata pengantar, motto, ringkasan, dll plus ngedit² kira² butuh waktu berapa lama? 1 bulan setengah cukup? TIA🙏",in,[],[],[],2,0,0,[],[],https://twitter.com/collegemenfess/status/1607198538446016513,False,,0,,,,,,,,[],,,,
1607198208912158721,1607198208912158721,2022-12-26 09:14:47 SE Asia Standard Time,2022-12-26,09:14:47,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] mau tanya ke Kaka2 yg udah KKN, kira2 yg wajib banget dibawa pas KKN itu apa aja yaa soalnya bentar lagi sender kkn?",in,[],[],[],2,0,1,[],[],https://twitter.com/collegemenfess/status/1607198208912158721,False,,0,,,,,,,,[],,,,
1607198146031149057,1607198146031149057,2022-12-26 09:14:32 SE Asia Standard Time,2022-12-26,09:14:32,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] web untuk parafrase itu apa ya aku lupa? makasii yg udah mau jawab,in,[],[],[],7,0,14,[],[],https://twitter.com/collegemenfess/status/1607198146031149057,False,,0,,,,,,,,[],,,,
1607197988505677827,1607197988505677827,2022-12-26 09:13:55 SE Asia Standard Time,2022-12-26,09:13:55,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] halo kak, ada yang tau ga ya? TIA!  https://t.co/3Jgxxoc41O",in,[],[],['https://pbs.twimg.com/media/Fk3qDZraUAIRYhK.jpg'],5,0,1,[],[],https://twitter.com/collegemenfess/status/1607197988505677827,False,,1,https://pbs.twimg.com/media/Fk3qDZraUAIRYhK.jpg,,,,,,,[],,,,
1607197950970855424,1607197950970855424,2022-12-26 09:13:46 SE Asia Standard Time,2022-12-26,09:13:46,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] gais kalo website lomba lomba gtu kira kira isinya apa aja ya? divisiku ngadain lomba trus isi websitenya kosong jadi mau diisi gtu sama konten konten tapi gatau konten buat website apa aja, ada masukan gaa temen temeenn?",in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607197950970855424,False,,0,,,,,,,,[],,,,
1607197738671960064,1607197738671960064,2022-12-26 09:12:55 SE Asia Standard Time,2022-12-26,09:12:55,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] kasih aku life hack anak kos buat bertahan hidup sama duit 20rb sampe tanggal 5 Januari 🥲,in,[],[],[],14,0,2,[],[],https://twitter.com/collegemenfess/status/1607197738671960064,False,,0,,,,,,,,[],,,,
1607197621965426688,1607197621965426688,2022-12-26 09:12:28 SE Asia Standard Time,2022-12-26,09:12:28,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"Anak unj ada yg tau coffee shop ato tempat makan enak yg ada wifi?mo ngerjain tugas soalnaa, disekitaran rawamangun aja [cm]",in,[],[],[],1,0,0,[],[],https://twitter.com/collegemenfess/status/1607197621965426688,False,,0,,,,,,,,[],,,,
1607197386111348736,1607197386111348736,2022-12-26 09:11:31 SE Asia Standard Time,2022-12-26,09:11:31,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] kampus kalian ada libur ga untuk tahun baru ini? selain libur UAS ya.,in,[],[],[],10,0,0,[],[],https://twitter.com/collegemenfess/status/1607197386111348736,False,,0,,,,,,,,[],,,,
1607197284047155201,1607197284047155201,2022-12-26 09:11:07 SE Asia Standard Time,2022-12-26,09:11:07,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[Cm] Guys kalian yg merantau pulang gini beliin oleh-oleh buat di rumah?,in,[],[],[],2,0,0,[],[],https://twitter.com/collegemenfess/status/1607197284047155201,False,,0,,,,,,,,[],,,,
1607197144330698754,1607197144330698754,2022-12-26 09:10:34 SE Asia Standard Time,2022-12-26,09:10:34,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] kalo ditanyain keistimewaan tempat magang, tapi tempat magangnya cuma dinas kecil itu gimana ya cari datanya susah. ada saran ga temen-temen?",in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607197144330698754,False,,0,,,,,,,,[],,,,
1607196967817580549,1607196967817580549,2022-12-26 09:09:52 SE Asia Standard Time,2022-12-26,09:09:52,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[Cm] As my iisma journey ends, I'll be glad to contribute back to y'all future awardees, especially those in D3/D4 by providing information u need/checking your essay. Kindly rep and I'll open my DM :D I also wouldn't mind a groupchat  https://t.co/jFuUxBdQGY",en,[],[],['https://pbs.twimg.com/media/Fk3pH-_aAAEU3-4.jpg'],15,2,41,[],[],https://twitter.com/collegemenfess/status/1607196967817580549,False,,1,https://pbs.twimg.com/media/Fk3pH-_aAAEU3-4.jpg,,,,,,,[],,,,
1607196116256452609,1607196116256452609,2022-12-26 09:06:29 SE Asia Standard Time,2022-12-26,09:06:29,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] Hallo temen-temen disini adakah yang pernah magang di big 4? Boleh bagi tips/skill apa aja yang diperluin gak ya? Kalau berkenan mau kuketuk dmnya, terima kasiiih🙏  https://t.co/WiajZpNzBQ",in,[],[],['https://pbs.twimg.com/media/Fk3oWbsagAIR6dW.jpg'],0,0,4,[],[],https://twitter.com/collegemenfess/status/1607196116256452609,False,,1,https://pbs.twimg.com/media/Fk3oWbsagAIR6dW.jpg,,,,,,,[],,,,
1607195868167536641,1607195868167536641,2022-12-26 09:05:29 SE Asia Standard Time,2022-12-26,09:05:29,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] gais ada yang tau cara buat cek skripsi full padahal cuma tau 1 babnya doang gak?? pernah nyimpen tapi hilang di markahku. ada yang tau gak ya caranya? tia,in,[],[],[],1,1,2,[],[],https://twitter.com/collegemenfess/status/1607195868167536641,False,,0,,,,,,,,[],,,,
1607195648436350977,1607195648436350977,2022-12-26 09:04:37 SE Asia Standard Time,2022-12-26,09:04:37,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] pernah gak sih kayak grogi gitu pas mau ngerjain uas?,in,[],[],[],0,0,0,[],[],https://twitter.com/collegemenfess/status/1607195648436350977,False,,0,,,,,,,,[],,,,
1607195546573475842,1607195546573475842,2022-12-26 09:04:13 SE Asia Standard Time,2022-12-26,09:04:13,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] temen temen, apakah ada yang punya buku metode penelitian survey? aku butuh buat skripsi. terima kasiihh!",in,[],[],[],0,0,1,[],[],https://twitter.com/collegemenfess/status/1607195546573475842,False,,0,,,,,,,,[],,,,
1607195137255538688,1607195137255538688,2022-12-26 09:02:35 SE Asia Standard Time,2022-12-26,09:02:35,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] cara chat dospem mau bimbingan gimana ya?,in,[],[],[],2,0,5,[],[],https://twitter.com/collegemenfess/status/1607195137255538688,False,,0,,,,,,,,[],,,,
1607195010008756224,1607195010008756224,2022-12-26 09:02:05 SE Asia Standard Time,2022-12-26,09:02:05,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,[cm] saran kegiatan atau hal yang bermanfaat buat ngisi liburan semester dong😔,in,[],[],[],2,0,0,[],[],https://twitter.com/collegemenfess/status/1607195010008756224,False,,0,,,,,,,,[],,,,
1607194972549447680,1607194972549447680,2022-12-26 09:01:56 SE Asia Standard Time,2022-12-26,09:01:56,+0700,1046084008742801408,collegemenfess,COLLE | CEK PINNED😎,,"[cm] sender nyesel terlalu making effort kalo di kelas, eh ternyata nilainya jauh bgt dari ekspektasi. tau gitu waktunya dialokasikan buat ngasah kemampuan yang lain:( kalian ada yang gitu juga ga?",in,[],[],[],1,0,3,[],[],https://twitter.com/collegemenfess/status/1607194972549447680,False,,0,,,,,,,,[],,,,
